lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x0435	zu-ZA	ZAR	R	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0436	af-ZA	ZAR	R	,	 	[3, 0]		-	2	2	1	0	1	0	3	3	,	 	[3, 0]
0x0437	ka-GE	GEL	₾	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0438	fo-FO	DKK	kr	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0439	hi-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x043A	mt-MT	EUR	€	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x043B	se-NO	NOK	kr	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x043E	ms-MY	MYR	RM	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x043F	kk-KZ	KZT	₸	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0440	ky-KG	KGS	сом	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0441	sw-KE	KES	Ksh	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0442	tk-TM	TMT	m.	,	 	[3, 0]		-	2	2	0	0	0	0	1	1	,	 	[3, 0]
0x0443	uz-Latn_UZ	UZS	soʻm	,	 	[3, 0]		-	0	0	0	1	0	1	1	1	,	 	[3, 0]
0x0444	tt-RU	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0445	bn-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0446	pa-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0447	gu-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x0448	or-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0449	ta-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x044A	te-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x044B	kn-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 0]
0x044C	ml-IN	INR	₹	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 2, 0]
0x044D	as-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x044E	mr-IN	INR	₹	`	,	[3, 2, 0]		-	2	2	1	0	1	1	4	4	.	,	[3, 2, 0]
0x044F	sa-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x0450	mn-MN	MNT	?	.	,	[3, 0]		-	0	0	1	1	1	1	3	3	.	,	[3, 0]
0x0451	bo-CN	CNY	¥	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x0452	cy-GB	GBP	£	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0453	km-KH	KHR	៛	.	,	[3, 0]		-	2	2	0	0	0	0	1	1	.	,	[3, 0]
0x0454	lo-LA	LAK	₭	,	.	[3, 0]		-	0	0	1	0	1	0	4	4	,	.	[3, 0]
0x0455	my-MM	MMK	K	.	,	[3, 0]		-	0	0	0	1	0	1	1	1	.	,	[3, 0]
0x0456	gl-ES	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0457	kok-IN	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	4	4	.	,	[3, 2, 0]
0x045A	syr-SY	SYP	ܠ.ܣ.‏	.	,	[3, 0]		-	2	2	0	1	0	1	1	1	.	,	[3, 0]
0x045B	si-LK	LKR	රු.	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x045C	chr-Cher_US	USD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x045D	iu-Cans_CA	CAD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x045E	am-ET	ETB	ብር	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0460	ks-Arab	INR	₹	.	,	[3, 2, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 2, 0]
0x0461	ne-NP	NPR	रु	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x0462	fy-NL	EUR	€	,	.	[3, 0]		-	2	2	1	1	1	1	2	2	,	.	[3, 0]
0x0463	ps-AF	AFN	؋	,	.	[3, 0]		-	0	0	0	1	0	1	1	1	,	.	[3, 0]
0x0464	fil-PH	PHP	?	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0465	dv-MV	MVR	ރ.	.	,	[3, 0]		-	2	2	0	1	0	1	4	4	.	,	[3, 0]
0x0468	ha-Latn_NG	NGN	₦	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x046A	yo-NG	NGN	?	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x046B	quz-BO	BOB	Bs.	,	.	[3, 0]		-	2	2	1	1	1	1	3	0	,	.	[3, 0]
